Ale;1440
Alingsas;1489
Alvesta;764
Aneby;604
Arboga;1984
Arjeplog;2506
Arvidsjaur;2505
Arvika;1784
Askersund;1882
Avesta;2084
Bengtsfors;1460
Berg;2326
Bjurholm;2403
Bjuv;1260
Boden;2582
Bollebygd;1443
Bollnas;2183
Borgholm;885
Borlange;2081
Boras;1490
Botkyrka;127
Boxholm;560
Bromolla;1272
Bracke;2305
Burlov;1231
Bastad;1278
Dals-Ed;1438
Danderyd;162
Degerfors;1862
Dorotea;2425
Eda;1730
Ekero;125
Eksjo;686
Emmaboda;862
Enkoping;381
Eskilstuna;484
Eslov;1285
Essunga;1445
Fagersta;1982
Falkenberg;1382
Falkoping;1499
Falun;2080
Filipstad;1782
Finspang;562
Flen;482
Forshaga;1763
Fargelanda;1439
Gagnef;2026
Gislaved;662
Gnesta;461
Gnosjo;617
Gotland;980
Grums;1764
Grastorp;1444
Gullspang;1447
Gallivare;2523
Gavle;2180
Goteborg;1480
Gotene;1471
Habo;643
Hagfors;1783
Hallsberg;1861
Hallstahammar;1961
Halmstad;1380
Hammaro;1761
Haninge;136
Haparanda;2583
Heby;331
Hedemora;2083
Helsingborg;1283
Herrljunga;1466
Hjo;1497
Hofors;2104
Huddinge;126
Hudiksvall;2184
Hultsfred;860
Hylte;1315
Habo;305
Hallefors;1863
Harjedalen;2361
Harnosand;2280
Harryda;1401
Hassleholm;1293
Hoganas;1284
Hogsby;821
Horby;1266
Hoor;1267
Jokkmokk;2510
Jarfalla;123
Jonkoping;680
Kalix;2514
Kalmar;880
Karlsborg;1446
Karlshamn;1082
Karlskoga;1883
Karlskrona;1080
Karlstad;1780
Katrineholm;483
Kil;1715
Kinda;513
Kiruna;2584
Klippan;1276
Knivsta;330
Kramfors;2282
Kristianstad;1290
Kristinehamn;1781
Krokom;2309
Kumla;1881
Kungsbacka;1384
Kungsor;1960
Kungalv;1482
Kavlinge;1261
Koping;1983
Laholm;1381
Landskrona;1282
Laxa;1860
Lekeberg;1814
Leksand;2029
Lerum;1441
Lessebo;761
Lidingo;186
Lidkoping;1494
Lilla Edet;1462
Lindesberg;1885
Linkoping;580
Ljungby;781
Ljusdal;2161
Ljusnarsberg;1864
Lomma;1262
Ludvika;2085
Lulea;2580
Lund;1281
Lycksele;2481
Lysekil;1484
Malmo;1280
Malung;2023
Mala;2418
Mariestad;1493
Mark;1463
Markaryd;767
Mellerud;1461
Mjolby;586
Mora;2062
Motala;583
Mullsjo;642
Munkedal;1430
Munkfors;1762
Molndal;1481
Monsteras;861
Morbylanga;840
Nacka;182
Norberg;1962
Nora;1884
Nordanstig;2132
Nordmaling;2401
Norrkoping;581
Norrtalje;188
Norsjo;2417
Nybro;881
Nykvarn;140
Nykoping;480
Nynashamn;192
Nassjo;682
Ockelbo;2101
Olofstrom;1060
Orsa;2034
Orust;1421
Osby;1273
Oskarshamn;882
Ovanaker;2121
Oxelosund;481
Pajala;2521
Partille;1402
Perstorp;1275
Pitea;2581
Ragunda;2303
Robertsfors;2409
Ronneby;1081
Rattvik;2031
Sala;1981
Salem;128
Sandviken;2181
Sigtuna;191
Simrishamn;1291
Sjobo;1265
Skara;1495
Skelleftea;2482
Skinnskatteberg;1904
Skurup;1264
Skovde;1496
Smedjebacken;2061
Solleftea;2283
Sollentuna;163
Solna;184
Sorsele;2422
Sotenas;1427
Staffanstorp;1230
Stenungsund;1415
Stockholm;180
Storfors;1760
Storuman;2421
Strangnas;486
Stromstad;1486
Stromsund;2313
Sundbyberg;183
Sundsvall;2281
Sunne;1766
Surahammar;1907
Svalov;1214
Svedala;1263
Svenljunga;1465
Saffle;1785
Sater;2082
Savsjo;684
Soderhamn;2182
Soderkoping;582
Sodertalje;181
Solvesborg;1083
Tanum;1435
Tibro;1472
Tidaholm;1498
Tierp;360
Timra;2262
Tingsryd;763
Tjorn;1419
Tomelilla;1270
Torsby;1737
Torsas;834
Tranemo;1452
Tranas;687
Trelleborg;1287
Trollhattan;1488
Trosa;488
Tyreso;138
Taby;160
Toreboda;1473
Uddevalla;1485
Ulricehamn;1491
Umea;2480
Upplands-Bro;139
Upplands Vasby;114
Uppsala;380
Uppvidinge;760
Vadstena;584
Vaggeryd;665
Valdemarsvik;563
Vallentuna;115
Vansbro;2021
Vara;1470
Varberg;1383
Vaxholm;187
Vellinge;1233
Vetlanda;685
Vilhelmina;2462
Vimmerby;884
Vindeln;2404
Vingaker;428
Vargarda;1442
Vanersborg;1487
Vannas;2460
Varmdo;120
Varnamo;683
Vastervik;883
Vasteras;1980
Vaxjo;780
Ydre;512
Ystad;1286
amal;1492
ange;2260
are;2321
arjang;1765
asele;2463
astorp;1277
atvidaberg;561
almhult;765
alvdalen;2039
alvkarleby;319
alvsbyn;2560
angelholm;1292
ockero;1407
odeshog;509
orebro;1880
orkelljunga;1257
ornskoldsvik;2284
ostersund;2380
osteraker;117
osthammar;382
ostra Goinge;1256
overkalix;2513
overtornea;2518
